Ticker,Company,Price (IPO (May '23)),EV/EBITDA (IPO (May '23)),Fwd P/E (IPO (May '23)),Price (1-yr Post-IPO (May '24)),EV/EBITDA (1-yr Post-IPO (May '24)),Fwd P/E (1-yr Post-IPO (May '24)),Price (Pre-Deal (Oct '25)),EV/EBITDA (Pre-Deal (Oct '25)),Fwd P/E (Pre-Deal (Oct '25))
KVUE,Kenvue,24.1,13.5,19.0,17.71,12.9,15.4,14.03,11.7,13.0
PG,Procter & Gamble,144.95,17.5,24.6,157.22,18.3,26.1,149.31,15.7,22.9
KMB,Kimberly-Clark,128.58,15.3,24.7,125.82,18.6,16.7,116.83,13.1,19.2
CL,Colgate-Palmolive,75.73,21.2,27.3,89.23,19.2,25.4,76.58,14.4,29.1
CHD,Church & Dwight,94.26,30.5,30.9,103.62,20.9,43.7,87.12,20.8,28.8
ABT,Abbott Laboratories,105.04,15.7,32.2,102.38,17.7,13.4,123.0,20.4,33.1
Median,Peer Median,,17.5,27.3,,18.6,25.4,,15.7,28.8
