Snapshot,KVUE EV/EBITDA,Peer Median EV/EBITDA,EV/EBITDA Discount,KVUE Fwd P/E,Peer Median Fwd P/E,Fwd P/E Discount
IPO (May '23),13.5x,17.5x,-23%,19.0x,27.3x,-30%
1-yr Post-IPO (May '24),12.9x,18.6x,-31%,15.4x,25.4x,-39%
Pre-Deal (Oct '25),11.7x,15.7x,-25%,13.0x,28.8x,-55%
