Date,HLN,JNJ,KMB,KVUE,SPY,XLP
2024-04-25,8.211206436157227,138.4001922607422,126.13092041015625,17.541339874267578,491.5276794433594,71.84393310546875
2024-04-26,8.260083198547363,137.7592010498047,125.03076171875,17.393779754638672,496.1843566894531,71.69217681884766
2024-04-29,8.279634475708008,138.4001922607422,125.66865539550781,17.578231811523438,497.9416198730469,71.9197998046875
2024-04-30,8.338285446166992,136.298095703125,126.223388671875,17.35688591003418,490.0535888671875,71.60681915283203
2024-05-01,8.162331581115723,142.51014709472656,126.16793060302734,17.38455581665039,488.4623107910156,71.15155792236328
2024-05-02,8.133005142211914,141.32241821289062,126.19567108154297,17.633569717407227,493.0310974121094,71.74908447265625
2024-05-03,8.113454818725586,140.70968627929688,125.81661224365234,17.707347869873047,499.14239501953125,71.96722412109375
2024-05-06,8.054802894592285,140.05929565429688,125.70564270019531,17.596675872802734,504.2969055175781,72.00515747070312
2024-05-07,8.142780303955078,140.19125366210938,125.71488952636719,18.71510887145996,504.8534240722656,72.79235076904297
2024-05-08,8.005926132202148,140.40805053710938,125.66865539550781,19.059961318969727,504.9022216796875,72.57421112060547
2024-05-09,8.07435417175293,141.25643920898438,126.34356689453125,19.143842697143555,507.8114013671875,73.2001953125
2024-05-10,8.054802894592285,141.31301879882812,126.35281372070312,19.143842697143555,508.4655456542969,73.61749267578125
2024-05-13,8.06457805633545,142.54786682128906,126.00150299072266,18.9760799407959,508.5337829589844,73.4088363647461
2024-05-14,8.133005142211914,142.69871520996094,124.90132904052734,19.22772216796875,510.86700439453125,73.26657104492188
2024-05-15,8.22098159790039,143.9147186279297,123.98605346679688,19.143842697143555,517.1930541992188,73.31401062011719
2024-05-16,8.181880950927734,145.43240356445312,124.50379943847656,19.19976234436035,516.1290283203125,74.35726928710938
2024-05-17,8.318735122680664,145.77174377441406,124.1524658203125,19.078598022460938,516.8709106445312,74.17707061767578
2024-05-20,8.318735122680664,143.7476806640625,123.53306579589844,18.54734230041504,517.4664916992188,73.6649169921875
2024-05-21,8.328511238098145,143.71917724609375,123.64401245117188,18.612585067749023,518.7354736328125,74.10118865966797
2024-05-22,8.3089599609375,145.86676025390625,123.76417541503906,18.528701782226562,517.241943359375,73.80718231201172
2024-05-23,8.269858360290527,142.25575256347656,121.88742065429688,18.118610382080078,513.4639282226562,72.93463134765625
2024-05-24,8.191656112670898,139.66148376464844,121.9798812866211,18.03472900390625,516.8612060546875,73.12431335449219
2024-05-28,8.201432228088379,137.20028686523438,119.40048217773438,17.941526412963867,517.222412109375,72.55525970458984
2024-05-29,8.162331581115723,137.25729370117188,118.4852294921875,17.587356567382812,513.6004028320312,72.03361511230469
2024-05-30,8.191656112670898,138.05552673339844,119.88124084472656,17.69919776916504,510.193359375,72.22329711914062
2024-05-31,8.2503080368042,139.37640380859375,123.23723602294922,17.988126754760742,514.84033203125,73.35193634033203
2024-06-03,8.279634475708008,140.39321899414062,124.7071762084961,17.932205200195312,515.2601318359375,73.32347869873047
2024-06-04,8.191656112670898,140.45021057128906,127.0184555053711,17.848325729370117,515.8361206054688,73.95892333984375
2024-06-05,8.348060607910156,138.71121215820312,126.50997161865234,17.69919776916504,521.9668579101562,73.79769897460938
2024-06-06,8.387161254882812,139.13885498046875,126.65790557861328,17.363664627075195,521.9570922851562,74.02532196044922
2024-06-07,8.328511238098145,139.7660369873047,125.44522094726562,17.13998031616211,521.3225708007812,73.65543365478516
2024-06-10,8.191656112670898,139.8135528564453,126.36873626708984,17.04677963256836,522.933349609375,73.5985336303711
2024-06-11,8.133005142211914,139.46194458007812,126.5366439819336,17.21454620361328,524.1927490234375,73.56059265136719
2024-06-12,8.133005142211914,138.1790771484375,126.1075439453125,16.73921012878418,528.4979248046875,72.7544174194336
2024-06-13,8.289408683776855,138.21710205078125,130.0626678466797,16.804452896118164,529.5620727539062,72.84925842285156
2024-06-14,8.201432228088379,138.3026123046875,130.11865234375,16.841733932495117,529.88427734375,72.98204803466797
2024-06-17,8.181880950927734,138.69219970703125,131.01414489746094,17.512792587280273,534.1015014648438,73.67439270019531
2024-06-18,8.269858360290527,138.40711975097656,132.15219116210938,17.261146545410156,535.45849609375,73.76924896240234
2024-06-20,8.328511238098145,140.43121337890625,130.70632934570312,17.55939483642578,534.0039672851562,73.60801696777344
