Date,CHD,CL,KMB,KVUE,PG,SPY
2023-04-25,89.26427459716797,72.83263397216797,128.80679321289062,,145.77108764648438,390.7732238769531
2023-04-26,88.80095672607422,71.87655639648438,127.86300659179688,,144.08399963378906,389.1180114746094
2023-04-27,93.91665649414062,73.04823303222656,130.32928466796875,,145.84564208984375,396.8645324707031
2023-04-28,93.742919921875,74.80108642578125,129.002685546875,,145.76177978515625,400.25189208984375
2023-05-01,93.29891967773438,75.63533020019531,129.85739135742188,,145.93887329101562,399.8478088378906
2023-05-02,93.64639282226562,75.78531646728516,129.8841094970703,,145.808349609375,395.3537902832031
2023-05-03,94.04214477539062,76.16963195800781,129.61703491210938,,145.6219482421875,392.64007568359375
2023-05-04,94.26414489746094,75.72908782958984,128.57530212402344,24.096221923828125,144.95083618164062,389.8590393066406
2023-05-05,94.13865661621094,75.5416030883789,129.2608642578125,23.737918853759766,145.43553161621094,397.0763244628906
2023-05-08,93.25065612792969,75.69158935546875,128.86912536621094,23.74687385559082,144.75509643554688,397.1821594238281
2023-05-09,92.60396575927734,75.58846282958984,128.13902282714844,23.54084587097168,143.2730712890625,395.44036865234375
2023-05-10,92.86456298828125,76.01966094970703,127.68498229980469,23.51397705078125,143.57131958007812,397.28802490234375
2023-05-11,93.02864837646484,76.51644897460938,127.92536926269531,23.29003143310547,143.90689086914062,396.59515380859375
2023-05-12,93.75753021240234,76.84452819824219,128.78897094726562,23.737918853759766,145.37026977539062,396.0754699707031
2023-05-15,93.0412368774414,76.00091552734375,128.0767059326172,24.633686065673828,145.41688537597656,397.44195556640625
2023-05-16,92.60565185546875,75.7103271484375,128.7978973388672,24.212677001953125,145.16522216796875,394.7860412597656
2023-05-17,91.75383758544922,75.46662902832031,128.96705627441406,24.382869720458984,144.55003356933594,399.5783386230469
2023-05-18,91.51183319091797,74.69798278808594,128.0321807861328,24.221635818481445,142.17318725585938,403.42755126953125
2023-05-19,91.98615264892578,74.9229507446289,129.1273193359375,24.391826629638672,142.76971435546875,402.8404846191406
2023-05-22,91.75383758544922,73.4981689453125,125.27210235595703,23.352737426757812,139.03199768066406,403.0041198730469
2023-05-23,90.91168975830078,72.2139892578125,123.37567138671875,23.29003143310547,137.5313262939453,398.4812927246094
2023-05-24,90.67938995361328,71.6890640258789,122.55653381347656,23.693130493164062,136.3941650390625,395.5943298339844
2023-05-25,90.49547576904297,71.47348022460938,122.01344299316406,23.585636138916016,135.5180206298828,399.0201721191406
2023-05-26,90.96011352539062,71.43598937988281,121.35457611083984,23.558761596679688,135.52734375,404.187744140625
2023-05-30,88.78217315673828,70.25489807128906,118.92391967773438,23.04817008972168,133.45803833007812,404.3416748046875
2023-05-31,89.48877716064453,69.7206039428711,119.5560531616211,22.47488021850586,132.82421875,402.0995788574219
2023-06-01,89.7791748046875,70.20803833007812,119.24443054199219,22.64507484436035,134.18508911132812,405.9198913574219
